id,first_name,last_name,email,gender,city,country,age,YOE,college_bool,uni_name,uni_tier,company_name,industry,sector,company_bio,location,valuation,profitable,growth_rate,funding_round,investor_no
19,Godfrey,Swindell,gswindelli@wufoo.com,Male,Blois,France,66,8,true,Institut des Sciences de la Matière et du Rayonnement,2,Adams-Crist,Business Services,Finance,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0 Dapin Road,40170419,false,42,1,0
20,Jennica,Arran,jarranj@cbc.ca,Female,Charleston,United States,65,4,true,New York Chiropractic College,1,Runolfsson-Russel,Auto Manufacturing,Capital Goods,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,7963 Lakewood Gardens Drive,20795126,true,50,3,7
21,Arline,MacTrustey,amactrusteyk@google.nl,Female,Černošice,Czech Republic,33,14,false,Prague Institute of Chemical Technology,2,Friesen and Sons,n/a,n/a,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",55642 La Follette Trail,428711,false,9,4,3
22,Leighton,Joynes,ljoynesl@live.com,Male,Douliu,Taiwan,44,16,true,Tainan National College of the Arts,3,Spinka-Nader,Investment Bankers/Brokers/Service,Finance,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",9036 Westend Junction,35198402,false,68,3,0
23,Beck,Leteurtre,bleteurtrem@indiatimes.com,Male,Smiltene,Latvia,16,13,false,Medical Academy of Latvia,1,"Ward, Fisher and Wolf",n/a,n/a,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",37927 Lotheville Avenue,15640856,false,100,2,1
24,Robbie,Gaspar,rgasparn@webmd.com,Male,Rybnoye,Russia,23,13,true,Tomsk State University,1,Wyman-Barton,n/a,n/a,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",517 Green Center,14918435,true,99,2,8
25,Harrietta,Anfossi,hanfossio@parallels.com,Female,El Paso,United States,30,0,true,John Carroll University,2,Hyatt Inc,Integrated oil Companies,Energy,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",947 Sachs Road,19984420,false,26,4,2
26,Darelle,Graber,dgraberp@cam.ac.uk,Female,Savannah,United States,60,20,false,University of Colorado at Denver,3,Schmidt-Block,n/a,n/a,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.",452 Lyons Way,18575046,false,11,2,10
27,Caroline,Danser,cdanserq@bloglines.com,Female,Brive-la-Gaillarde,France,27,20,true,Ecole Nationale Supérieure de Physique de Marseille,1,"Yundt, Rath and O'Conner",n/a,n/a,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",9573 Welch Plaza,21251823,false,28,4,8
28,Martynne,McNaughton,mmcnaughtonr@china.com.cn,Female,Brokopondo,Suriname,40,10,false,Anton de Kom University,2,Lowe-Kris,Recreational Products/Toys,Consumer Non-Durables,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",87 Eliot Plaza,15538497,true,1,4,1
29,Kerrie,Jaram,kjarams@icio.us,Female,Zhongzi,China,64,11,true,China University of Mining Technology - Beijing,3,Roberts Group,n/a,n/a,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",8348 7th Park,38601736,true,59,3,10
30,Bastien,MacDowall,bmacdowallt@hostgator.com,Polygender,Atarodangwautu,Indonesia,27,10,true,Universitas Wijaya Kusuma Surabaya,3,Stark-Koch,Major Chemicals,Basic Industries,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",5 Gulseth Avenue,35101745,true,75,3,1
31,Donetta,Bront,dbrontu@amazon.co.uk,Female,Lyon,France,71,18,true,Université du Maine,1,Howe and Sons,Telecommunications Equipment,Public Utilities,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,915 Dakota Lane,21560713,true,82,4,8
32,Merwin,Coneron,mconeronv@ovh.net,Male,Bang Lamung,Thailand,25,16,false,Eastern Asia University,3,"O'Hara, Roob and Littel",n/a,n/a,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",49 Novick Crossing,32584847,false,62,4,10
33,Dante,Legister,dlegisterw@ucoz.ru,Male,Luyang,China,37,16,false,Central South Forestry University,2,"Sanford, Brakus and Kuhic",Medical/Nursing Services,Health Care,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",109 Glendale Drive,11985957,false,63,3,9
34,Pepita,Shay,pshayx@tripadvisor.com,Female,Jiandou,China,56,14,true,Guangxi University for Nationalities,2,Buckridge and Sons,Oil & Gas Production,Energy,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",899 Victoria Parkway,26815088,true,65,2,2
35,Darcy,Banes,dbanesy@yellowbook.com,Male,Caotang,China,68,15,true,Shihezi University ,3,Boyer-Yundt,Television Services,Consumer Services,Etiam vel augue.,981 Tennessee Trail,36079394,false,34,1,6
36,Hillard,Honeyghan,hhoneyghanz@smugmug.com,Male,Bayuwan,Indonesia,42,1,true,Universitas Dr. R. Moestopo,3,"Heller, Yundt and Hermann",Major Pharmaceuticals,Health Care,Aliquam sit amet diam in magna bibendum imperdiet.,8 Bunting Crossing,11080396,false,45,2,1
37,Germain,Ridgley,gridgley10@mtv.com,Female,Prigrevica,Serbia,30,4,false,International University of Novi Pazar,1,"Donnelly, Cassin and Hills",Major Pharmaceuticals,Health Care,Cras non velit nec nisi vulputate nonummy.,15882 Rutledge Lane,47775572,false,80,1,3
38,Bernetta,Hewins,bhewins11@printfriendly.com,Female,Sendang,Indonesia,57,15,true,Universitas Pattimura,2,"Treutel, Monahan and Wilderman",Property-Casualty Insurers,Finance,Ut tellus. Nulla ut erat id mauris vulputate elementum.,11 Victoria Alley,7297063,true,100,3,10
39,Ennis,Comfort,ecomfort12@reverbnation.com,Non-binary,Xialiao,China,37,6,false,Capital University of Medical Sciences,2,Oberbrunner-Zboncak,Biotechnology: Commercial Physical & Biological Resarch,Health Care,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",94437 Everett Place,40005498,false,60,3,7
40,Antony,Salkeld,asalkeld13@163.com,Male,Armação,Brazil,68,7,true,Centro Universitário Serra dos Órgãos,3,"Boyle, Ortiz and Stokes",Military/Government/Technical,Consumer Services,Vivamus tortor.,6345 Eastwood Circle,6321985,false,100,1,9
41,Barbette,McNickle,bmcnickle14@blogger.com,Female,Barbaza,Philippines,59,7,true,Ateneo de Zamboanga University,3,Kirlin Group,Savings Institutions,Finance,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",09 Graedel Lane,49144477,true,30,3,3
42,Valenka,Abrahamson,vabrahamson15@soundcloud.com,Genderqueer,Segovia,Colombia,71,9,false,Universidad de Pamplona,2,"Maggio, Kemmer and Will",n/a,n/a,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",1936 Cambridge Park,40933308,true,63,2,10
43,Maryann,Auty,mauty16@census.gov,Female,Thio,New Caledonia,65,1,true,University of New Caledonia,1,Quitzon Inc,Apparel,Consumer Non-Durables,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,71246 Maple Wood Crossing,40770214,false,56,1,2
44,Rollins,Gosker,rgosker17@jimdo.com,Genderqueer,Kamennyye Potoki,Ukraine,27,8,false,Ukrainian National Forestry University,2,Ferry and Sons,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,20 Lakeland Crossing,44956412,false,62,3,6
45,Udell,Paragreen,uparagreen18@goodreads.com,Male,Ying’ebu,China,19,1,true,Southwest University,2,Ratke-Goyette,Power Generation,Public Utilities,Proin at turpis a pede posuere nonummy. Integer non velit.,8 Brickson Park Plaza,26541981,true,14,1,9
46,Marys,Willes,mwilles19@prweb.com,Female,Gununganyartambak Tengah,Indonesia,31,3,true,Universitas Katolik Soegijapranoto,3,"Parker, Smith and Schuster",Professional Services,Consumer Services,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",042 Huxley Drive,6928090,true,59,1,2
47,Ernesto,MacTerlagh,emacterlagh1a@elegantthemes.com,Male,Sabi,Gambia,61,10,false,EUCLID University,2,Kunze-Kautzer,Auto Parts:O.E.M.,Capital Goods,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",3 David Drive,13186751,true,13,2,8
48,Lyell,Jobb,ljobb1b@1688.com,Male,Otwock,Poland,41,1,false,Medical Academy in Bialystok,2,Boyer and Sons,Life Insurance,Finance,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.",945 Warrior Crossing,40594108,true,66,4,10
49,Rockey,Coote,rcoote1c@oracle.com,Male,Sawaengha,Thailand,37,4,false,Asian University of Science and Technology,1,Swift-Kerluke,Precious Metals,Basic Industries,Sed ante. Vivamus tortor.,98274 Briar Crest Road,18756351,false,16,2,2
50,Sarena,Kiezler,skiezler1d@japanpost.jp,Female,Qŭrghonteppa,Tajikistan,31,20,true,Tajik National University,3,Brakus Inc,Medical/Dental Instruments,Health Care,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",23 Center Parkway,18194510,false,82,3,5
51,Filippa,Doick,fdoick1e@opensource.org,Female,Dokuchayevs’k,Ukraine,21,0,false,Sumy National Agrarian University,1,Swift-Wiza,Diversified Commercial Services,Technology,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",27 Heath Circle,17198333,false,46,2,10
52,Ailbert,Mawne,amawne1f@webeden.co.uk,Male,Bayt ‘Anān,Palestinian Territory,32,20,false,An-Najah National University,3,Feest-Willms,Containers/Packaging,Consumer Durables,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",02246 Bonner Circle,16082608,false,94,3,6
53,Anastassia,Freke,afreke1g@cbc.ca,Female,Um Jar Al Gharbiyya,Sudan,42,15,true,Omdurman Islamic University,3,Connelly-Homenick,Savings Institutions,Finance,"Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",108 Westerfield Court,49308238,true,54,4,7
54,Lemuel,O'Sullivan,losullivan1h@usda.gov,Male,Huangtan,China,39,5,false,Shanghai City College,2,Herzog-Padberg,Auto Parts:O.E.M.,Capital Goods,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",11 North Terrace,2154673,true,13,4,5
55,Amberly,Akram,aakram1i@toplist.cz,Female,Oroquieta,Philippines,73,7,false,Holy Angel University,2,"Quitzon, Bruen and Reynolds",n/a,n/a,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",5235 Fulton Circle,6824703,false,77,4,2
56,Elvera,Burds,eburds1j@umich.edu,Female,Tenancingo,El Salvador,40,18,false,Universidad de Sonsonate,2,"Hyatt, Lowe and Zieme",Water Supply,Basic Industries,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,947 Bobwhite Road,4062663,true,12,1,7
57,Vonni,Feavyour,vfeavyour1k@angelfire.com,Female,Campinas,Brazil,32,6,false,Universidade da Região da Campanha,1,"Kunze, Dicki and Gleason",Medical/Dental Instruments,Health Care,"Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",9 Comanche Trail,45035638,false,21,4,3
58,Basia,Kildale,bkildale1l@theglobeandmail.com,Female,Manis Mekarwangi,Indonesia,46,3,true,Universitas Advent Indonesia,3,"Reichert, Botsford and Walter",Integrated oil Companies,Energy,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",22 Mandrake Point,16256055,false,100,4,9
59,Durante,Syres,dsyres1m@sourceforge.net,Male,Sainte-Agathe-des-Monts,Canada,70,20,false,Université du Québec à Rimouski,1,Mann Inc,Major Banks,Finance,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",8 Nobel Court,43337465,true,27,1,3
60,Reilly,Cotman,rcotman1n@addtoany.com,Male,Encañada,Peru,46,15,true,Universidad Nacional de Piura,1,Boehm-Zulauf,Telecommunications Equipment,Consumer Non-Durables,"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",0368 Merry Pass,19872211,false,12,4,7
61,Sissie,Aucutt,saucutt1o@ifeng.com,Female,Tsyelyakhany,Belarus,61,6,true,Vitebsk State University,2,Marvin-Gusikowski,Business Services,Finance,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.",74 Golf Alley,42010536,false,19,4,2
62,Carey,Poolman,cpoolman1p@businessweek.com,Male,Zhukovka,Russia,23,17,false,Saratov State Medical University,1,"Quitzon, Labadie and Orn",Coal Mining,Energy,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,50779 Knutson Drive,18183063,true,47,2,5
63,Vale,Balf,vbalf1q@usda.gov,Female,Aleysk,Russia,60,1,true,Samara State Academy of Architecture and Civil Engineering,3,"Heller, Witting and Ebert",Meat/Poultry/Fish,Consumer Non-Durables,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,3 Comanche Circle,44466132,false,88,2,0
